respondent_id,Q1_age_group,Q6_ownership_duration,Q7_monthly_spend_inr,Q9_online_purchase_freq,Q13_pet_space_satisfaction,Q15_app_usage,Q20_community_importance,Q22_reviews_importance,Q24_emergency_vet_freq,Q25_app_adoption,Q1_age_group_enc,Q6_ownership_duration_enc,Q9_online_purchase_freq_enc,Q13_pet_space_satisfaction_enc,Q15_app_usage_enc,Q20_community_importance_enc,Q22_reviews_importance_enc,Q24_emergency_vet_freq_enc,Q2_city_tier_Metro,Q2_city_tier_Rural,Q2_city_tier_Tier-2,Q2_city_tier_Tier-3,Q3_residence_type_Gated Apartment,Q3_residence_type_Independent House,Q3_residence_type_Non-Gated Apartment,Q3_residence_type_Other,Q3_residence_type_Rented,Q4_num_dogs_1 Dog,Q4_num_dogs_2 Dogs,Q4_num_dogs_3+ Dogs,Q8_top_spend_category_Accessories,Q8_top_spend_category_Boarding/Walking,Q8_top_spend_category_Food & Treats,Q8_top_spend_category_Grooming,Q8_top_spend_category_Online Marketplace,Q8_top_spend_category_Training,Q8_top_spend_category_Vet & Medicines,Q11_vet_discovery_Google Maps,Q11_vet_discovery_No Reliable Way,Q11_vet_discovery_Pet App,Q11_vet_discovery_Social Media,Q11_vet_discovery_Word Of Mouth,Q12_lost_dog_experience_No,Q12_lost_dog_experience_Not Applicable,"Q12_lost_dog_experience_Yes, Managed Eventually","Q12_lost_dog_experience_Yes, Very Difficult",Q16_purchase_platform_Amazon/Flipkart,Q16_purchase_platform_Brand Website,Q16_purchase_platform_Don'T Buy Online,Q16_purchase_platform_Heads Up For Tails/Supertails,Q16_purchase_platform_Instagram/Social,Q16_purchase_platform_Local Pet Store,Q17_location_sharing_No,Q17_location_sharing_Unsure,Q17_location_sharing_Yes Always,Q17_location_sharing_Yes When Using App,Q18_subscription_pref_Annual Sub,Q18_subscription_pref_Free With Ads,Q18_subscription_pref_Freemium,Q18_subscription_pref_Monthly Sub,Q18_subscription_pref_One-Time Purchase,Q18_subscription_pref_Would Not Pay,Q19_adoption_interest_Maybe Someday,Q19_adoption_interest_No,Q19_adoption_interest_Yes Actively,Q19_adoption_interest_Yes Considering,Q21_social_media_dogs_Active,Q21_social_media_dogs_Not Interested,Q21_social_media_dogs_Not Yet But Would,Q21_social_media_dogs_Passive,Q23_vax_tracking_Dedicated Pet App,Q23_vax_tracking_Don'T Track,Q23_vax_tracking_Physical Diary,Q23_vax_tracking_Rely On Memory,Q23_vax_tracking_Spreadsheet/Notes App,Q10_challenges__hard_to_find_reliable_vet,Q10_challenges__lack_of_grooming_services,Q10_challenges__no_pet_friendly_spaces,Q10_challenges__genuine_food_accessories_hard_to_find,Q10_challenges__cannot_find_dog_trainer,Q10_challenges__hard_to_find_boarding_walker,Q10_challenges__no_local_dog_owner_community,Q10_challenges__travel_challenges_with_dog,Q10_challenges__difficulty_adopting_fostering,Q10_challenges__losing_track_of_vaccinations,Q14_preferred_features__nearby_vet_directory,Q14_preferred_features__pet_friendly_places,Q14_preferred_features__grooming_listings,Q14_preferred_features__dog_trainer_directory,Q14_preferred_features__adoption_fostering_network,Q14_preferred_features__lost_and_found_alerts,Q14_preferred_features__online_marketplace,Q14_preferred_features__community_playdates,Q14_preferred_features__boarding_walking_listings,Q14_preferred_features__dog_friendly_travel_guide,Q14_preferred_features__event_calendar,Q14_preferred_features__health_vaccination_tracker,Q5_dog_type__purebred,Q5_dog_type__indian_pariah,Q5_dog_type__rescued_stray,Q5_dog_type__adopted_from_shelter,Q5_dog_type__mixed_breed,Q25_target,Q25_binary,is_dog_owner,num_dogs_numeric,spend_per_dog,engagement_score
R0001,25-34,3-5 Years,5272.0,Frequently,Dissatisfied,Often,Very Important,Extremely Important,More Than 3 Times,Yes,2,2,3,2,3,5,4,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,5272.0,10
R0002,60+,<1 Year,3029.0,Occasionally,Dissatisfied,Often,Somewhat Important,Not Important,Never,Maybe,5,0,2,2,3,4,1,0,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,3029.0,6
R0003,35-44,3-5 Years,5230.0,Rarely,Dissatisfied,Never,Somewhat Important,Very Important,Once A Year Or Less,No,3,2,1,2,0,4,3,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2615.0,4
R0004,35-44,3-5 Years,6479.0,Frequently,Dissatisfied,Sometimes,Somewhat Important,Somewhat Important,Never,Yes,3,2,3,2,2,4,2,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,6479.0,7
R0005,18-24,5+ Years,2523.0,Frequently,Very Dissatisfied,Often,Somewhat Important,Somewhat Important,2-3 Times A Year,Yes,1,3,3,1,3,4,2,2,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,2523.0,8
R0006,18-24,1-3 Years,10564.0,Very Frequently,Dissatisfied,Sometimes,Somewhat Important,Not Important,Never,Maybe,1,1,4,2,2,4,1,0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3521.333333333333,7
R0007,18-24,3-5 Years,5249.0,Rarely,Dissatisfied,Sometimes,Somewhat Important,Extremely Important,2-3 Times A Year,Yes,1,2,1,2,2,4,4,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,5249.0,7
R0008,45-59,5+ Years,231.0,Frequently,Very Dissatisfied,Sometimes,Very Important,Extremely Important,Once A Year Or Less,Yes,4,3,3,1,2,5,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,231.0,9
R0009,35-44,5+ Years,3750.0,Frequently,Very Satisfied,Sometimes,Neutral,Extremely Important,2-3 Times A Year,Yes,3,3,3,5,2,3,4,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,3750.0,9
R0010,35-44,1-3 Years,1962.0,Occasionally,Very Dissatisfied,Often,Neutral,Very Important,Once A Year Or Less,Yes,3,1,2,1,3,3,3,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,1,0,1962.0,8
